IW8,MW2,QW2,IW4
53439,55295,0,0
53509,55295,0,0
53579,55295,0,0
53648,55295,0,0
53718,55295,0,0
53788,55295,0,0
53927,55295,0,0
53997,55295,0,0
53997,55295,0,0
54137,55295,0,0
54206,55295,0,0
54276,55295,0,0
54346,55295,0,0
54416,55295,0,0
54486,55295,0,0
54556,55295,0,0
54626,55295,0,0
54696,55295,0,0
54766,55295,0,0
54836,55295,0,0
54906,55295,0,0
54975,55295,0,0
55045,55295,0,0
55115,55295,0,0
55185,55295,0,0
55255,55295,0,0
55325,55295,19200,0
55395,55295,65535,19200
55461,55295,65535,65535
55436,55295,65535,65535
55215,55295,14336,65535
54994,55295,0,14336
54783,55295,0,0
54793,55295,0,0
54863,55295,0,0
54933,55295,0,0
55004,55295,0,0
55074,55295,0,0
55144,55295,0,0
55214,55295,0,0
55283,55295,0,0
55353,55295,37119,0
55423,55295,65535,37119
55485,55295,65535,65535
55384,55295,65535,65535
55162,55295,0,65535
54941,55295,0,0
54733,55295,0,0
54803,55295,0,0
54873,55295,0,0
54943,55295,0,0
55012,55295,0,0
55082,55295,0,0
55151,55295,0,0
55220,55295,0,0
55289,55295,0,0
55358,55295,40319,0
55427,55295,65535,40319
55488,55295,65535,65535
55372,55295,65535,65535
55149,55295,0,65535
54927,55295,0,0
54718,55295,0,0
54787,55295,0,0
54855,55295,0,0
54924,55295,0,0
54992,55295,0,0
55060,55295,0,0
55128,55295,0,0
55196,55295,0,0
55263,55295,0,0
55331,55295,23040,0
55398,55295,65535,23040
55461,55295,65535,65535
55414,55295,65535,65535
55179,55295,0,65535
54929,55295,0,0
54673,55295,0,0
54671,55295,0,0
54638,55295,0,0
54602,55295,0,0
54565,55295,0,0
54528,55295,0,0
54492,55295,0,0
54455,55295,0,0
54418,55295,0,0
54381,55295,0,0
54344,55295,0,0
54307,55295,0,0
54271,55295,0,0
54234,55295,0,0
54197,55295,0,0
54161,55295,0,0
54124,55295,0,0
54088,55295,0,0
54051,55295,0,0
54015,55295,0,0
53978,55295,0,0
53942,55295,0,0
53906,55295,0,0
53870,55295,0,0
53833,55295,0,0
53797,55295,0,0
53761,55295,0,0
53725,55295,0,0
53689,55295,0,0
53653,55295,0,0
53617,55295,0,0
53581,55295,0,0
53545,55295,0,0
53510,55295,0,0
53474,55295,0,0
53438,55295,0,0
53403,55295,0,0
53368,55295,0,0
53332,55295,0,0
53297,55295,0,0
53262,55295,0,0
53227,55295,0,0
53192,55295,0,0
53157,55295,0,0
53123,55295,0,0
53088,55295,0,0
53053,55295,0,0
53019,55295,0,0
52985,55295,0,0
52955,55295,0,0
52935,55295,0,0
52934,55295,0,0
52959,55295,0,0
53008,55295,0,0
53078,55295,0,0
53148,55295,0,0
53218,55295,0,0
53289,55295,0,0
53359,55295,0,0
53429,55295,0,0
53499,55295,0,0
53569,55295,0,0
53639,55295,0,0
53710,55295,0,0
53780,55295,0,0
53850,55295,0,0
53920,55295,0,0
53991,55295,0,0
54061,55295,0,0
54131,55295,0,0
54202,55295,0,0
54272,55295,0,0
54342,55295,0,0
54413,55295,0,0
54483,55295,0,0
54553,55295,0,0
54624,55295,0,0
54694,55295,0,0
54764,55295,0,0
54835,55295,0,0
54905,55295,0,0
54975,55295,0,0
55045,55295,0,0
55115,55295,0,0
55185,55295,0,0
55255,55295,0,0
55325,55295,19200,0
55395,55295,65535,19200
55461,55295,65535,65535
55436,55295,65535,65535
